# BUSCO version is: 5.4.7 
# The lineage dataset is: chlorophyta_odb10 (Creation date: 2020-08-05, number of genomes: 16, number of BUSCOs: 1519)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
15at3041	Complete	LHPF02000007.1	558550	537384	-	3443.2	1991	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
42at3041	Complete	LHPF02000029.1	333048	319380	-	1785.0	1208	https://www.orthodb.org/v10?query=42at3041	Magnesium chelatase subunit H
45at3041	Complete	LHPF02000021.1	75901	56862	-	1918.3	1586	https://www.orthodb.org/v10?query=45at3041	DNA polymerase epsilon catalytic subunit
52at3041	Complete	LHPF02000007.1	1405469	1392815	-	2058.8	1422	https://www.orthodb.org/v10?query=52at3041	Clathrin heavy chain
64at3041	Complete	LHPF02000010.1	396852	433636	+	788.5	1884	https://www.orthodb.org/v10?query=64at3041	predicted protein
66at3041	Complete	LHPF02000044.1	131994	144429	+	1283.7	1344	https://www.orthodb.org/v10?query=66at3041	Microtubule associated protein
72at3041	Complete	LHPF02000034.1	436879	449569	+	1281.7	1023	https://www.orthodb.org/v10?query=72at3041	P-loop containing nucleoside triphosphate hydrolase protein
91at3041	Complete	LHPF02000031.1	113689	104625	-	1179.5	761	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
96at3041	Complete	LHPF02000049.1	182212	191739	+	1490.6	872	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
99at3041	Complete	LHPF02000032.1	98986	87410	-	1264.7	891	https://www.orthodb.org/v10?query=99at3041	DNA topoisomerase 2
106at3041	Complete	LHPF02000007.1	959347	948748	-	1405.6	1047	https://www.orthodb.org/v10?query=106at3041	PurM-like, C-terminal domain
117at3041	Complete	LHPF02000053.1	152991	186567	+	3870.2	4495	https://www.orthodb.org/v10?query=117at3041	Midasin
118at3041	Duplicated	LHPF02000004.1	270448	283372	+	1349.6	1134	https://www.orthodb.org/v10?query=118at3041	PIK-related kinase
118at3041	Duplicated	LHPF02000033.1	465959	478878	+	1262.5	1140	https://www.orthodb.org/v10?query=118at3041	PIK-related kinase
125at3041	Complete	LHPF02000002.1	1347766	1322948	-	1372.1	1014	https://www.orthodb.org/v10?query=125at3041	Nuclear pre-mRNA splicing factor, component of splicing factor 3b
126at3041	Complete	LHPF02000003.1	245603	237883	-	977.2	694	https://www.orthodb.org/v10?query=126at3041	Kinesin-like calmodulin binding protein
137at3041	Complete	LHPF02000010.1	1110075	1120863	+	1479.4	954	https://www.orthodb.org/v10?query=137at3041	Splicing factor 3B subunit 1
142at3041	Complete	LHPF02000013.1	60465	71486	+	1144.2	816	https://www.orthodb.org/v10?query=142at3041	Exportin-1
143at3041	Complete	LHPF02000015.1	180706	172717	-	1115.6	742	https://www.orthodb.org/v10?query=143at3041	Glycine cleavage system P protein
144at3041	Complete	LHPF02000026.1	588741	577983	-	1215.0	1046	https://www.orthodb.org/v10?query=144at3041	oxoprolinase family protein
155at3041	Complete	LHPF02000015.1	647980	658635	+	947.0	638	https://www.orthodb.org/v10?query=155at3041	Serine/threonine-protein phosphatase
