# BUSCO version is: 5.4.7 
# The lineage dataset is: chlorophyta_odb10 (Creation date: 2020-08-05, number of genomes: 16, number of BUSCOs: 1519)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
15at3041	Complete	LHPG02000001.1	1524069	1542444	+	3591.4	2027	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
42at3041	Complete	LHPG02000006.1	579619	565535	-	1937.9	1147	https://www.orthodb.org/v10?query=42at3041	Magnesium chelatase subunit H
45at3041	Complete	LHPG02000023.1	26229	46569	+	2240.1	1529	https://www.orthodb.org/v10?query=45at3041	DNA polymerase epsilon catalytic subunit
52at3041	Complete	LHPG02000001.1	1600850	1587831	-	2113.8	1443	https://www.orthodb.org/v10?query=52at3041	Clathrin heavy chain
64at3041	Complete	LHPG02000008.1	1355665	1292350	-	1054.1	2192	https://www.orthodb.org/v10?query=64at3041	predicted protein
66at3041	Complete	LHPG02000023.1	437184	423272	-	1281.7	1429	https://www.orthodb.org/v10?query=66at3041	Microtubule associated protein
72at3041	Complete	LHPG02000005.1	3438094	3426301	-	1472.5	1028	https://www.orthodb.org/v10?query=72at3041	P-loop containing nucleoside triphosphate hydrolase protein
91at3041	Complete	LHPG02000002.1	2759084	2742029	-	1314.1	802	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
96at3041	Complete	LHPG02000015.1	1823972	1804480	-	1401.2	854	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
99at3041	Complete	LHPG02000005.1	1239124	1250796	+	1150.9	858	https://www.orthodb.org/v10?query=99at3041	DNA topoisomerase 2
106at3041	Complete	LHPG02000001.1	794389	782128	-	1724.9	1076	https://www.orthodb.org/v10?query=106at3041	PurM-like, C-terminal domain
117at3041	Complete	LHPG02000014.1	21873	53065	+	4073.2	4659	https://www.orthodb.org/v10?query=117at3041	Midasin
118at3041	Complete	LHPG02000022.1	547943	559185	+	1142.4	1073	https://www.orthodb.org/v10?query=118at3041	PIK-related kinase
125at3041	Complete	LHPG02000004.1	1233842	1244732	+	1506.7	1065	https://www.orthodb.org/v10?query=125at3041	Nuclear pre-mRNA splicing factor, component of splicing factor 3b
126at3041	Complete	LHPG02000021.1	317755	309650	-	1013.9	759	https://www.orthodb.org/v10?query=126at3041	Kinesin-like calmodulin binding protein
137at3041	Complete	LHPG02000008.1	560944	546203	-	1387.1	930	https://www.orthodb.org/v10?query=137at3041	Splicing factor 3B subunit 1
142at3041	Complete	LHPG02000020.1	1050694	1027230	-	1546.3	914	https://www.orthodb.org/v10?query=142at3041	Exportin-1
143at3041	Complete	LHPG02000008.1	1537681	1522601	-	1397.5	819	https://www.orthodb.org/v10?query=143at3041	Glycine cleavage system P protein
144at3041	Complete	LHPG02000007.1	2918399	2907588	-	1463.6	1005	https://www.orthodb.org/v10?query=144at3041	oxoprolinase family protein
155at3041	Complete	LHPG02000003.1	1390325	1377804	-	1029.2	637	https://www.orthodb.org/v10?query=155at3041	Serine/threonine-protein phosphatase
171at3041	Complete	LHPG02000009.1	773965	786791	+	1162.7	660	https://www.orthodb.org/v10?query=171at3041	ATPase, AAA-type, conserved site
175at3041	Complete	LHPG02000015.1	763274	788354	+	871.8	756	https://www.orthodb.org/v10?query=175at3041	Histone acetyltransferase
179at3041	Complete	LHPG02000025.1	677322	660287	-	831.2	627	https://www.orthodb.org/v10?query=179at3041	Glycoside hydrolase family 31 protein
187at3041	Complete	LHPG02000022.1	469741	461663	-	1358.1	707	https://www.orthodb.org/v10?query=187at3041	Ribonucleoside-diphosphate reductase
207at3041	Complete	LHPG02000007.1	1698128	1688035	-	1002.1	628	https://www.orthodb.org/v10?query=207at3041	Coatomer subunit gamma
211at3041	Complete	LHPG02000026.1	424228	416109	-	1148.4	791	https://www.orthodb.org/v10?query=211at3041	DNA polymerase
222at3041	Complete	LHPG02000019.1	70402	85835	+	1006.9	834	https://www.orthodb.org/v10?query=222at3041	WD40-repeat-containing domain
226at3041	Complete	LHPG02000008.1	287602	302453	+	1189.5	804	https://www.orthodb.org/v10?query=226at3041	Glycine-tRNA ligase, alpha subunit
228at3041	Complete	LHPG02000010.1	977238	950125	-	1990.7	1950	https://www.orthodb.org/v10?query=228at3041	Translational activator GCN1
230at3041	Complete	LHPG02000022.1	252824	261437	+	1309.3	848	https://www.orthodb.org/v10?query=230at3041	Leucyl-tRNA synthetase
231at3041	Complete	LHPG02000022.1	592830	589085	-	1089.1	562	https://www.orthodb.org/v10?query=231at3041	1-deoxy-D-xylulose 5-phosphate synthase
235at3041	Complete	LHPG02000021.1	143652	134555	-	721.4	960	https://www.orthodb.org/v10?query=235at3041	predicted protein
239at3041	Complete	LHPG02000015.1	300071	310946	+	643.5	642	https://www.orthodb.org/v10?query=239at3041	WD40-repeat-containing domain
246at3041	Complete	LHPG02000002.1	3122820	3135055	+	1013.6	793	https://www.orthodb.org/v10?query=246at3041	UV-damaged DNA binding complex subunit 1 protein
251at3041	Complete	LHPG02000013.1	1753324	1736156	-	720.9	678	https://www.orthodb.org/v10?query=251at3041	Importin subunit beta-1
256at3041	Complete	LHPG02000007.1	304085	294104	-	1065.5	969	https://www.orthodb.org/v10?query=256at3041	SMCs flexible hinge
263at3041	Complete	LHPG02000007.1	620302	612872	-	1193.0	734	https://www.orthodb.org/v10?query=263at3041	Coatomer subunit beta
290at3041	Complete	LHPG02000006.1	1465835	1454729	-	1225.1	740	https://www.orthodb.org/v10?query=290at3041	RNA cytidine acetyltransferase
294at3041	Complete	LHPG02000003.1	680031	674456	-	715.5	463	https://www.orthodb.org/v10?query=294at3041	Transmembrane 9 superfamily member
295at3041	Complete	LHPG02000011.1	1448370	1433551	-	832.0	526	https://www.orthodb.org/v10?query=295at3041	Glutamyl-tRNA synthetase
307at3041	Complete	LHPG02000016.1	1306941	1317061	+	990.4	715	https://www.orthodb.org/v10?query=307at3041	26S proteasome non-ATPase regulatory subunit 2 homolog
322at3041	Complete	LHPG02000004.1	499138	486754	-	959.0	808	https://www.orthodb.org/v10?query=322at3041	Ribosome biogenesis protein BMS1
324at3041	Complete	LHPG02000003.1	357481	350541	-	1023.0	626	https://www.orthodb.org/v10?query=324at3041	ATP-dependent helicase, C-terminal
336at3041	Complete	LHPG02000002.1	547279	539800	-	989.6	614	https://www.orthodb.org/v10?query=336at3041	Elongation factor G, chloroplastic
345at3041	Complete	LHPG02000017.1	1084648	1078040	-	1043.2	571	https://www.orthodb.org/v10?query=345at3041	Membrane AAA-metalloprotease
346at3041	Complete	LHPG02000005.1	1578911	1591678	+	891.0	1063	https://www.orthodb.org/v10?query=346at3041	SMCs flexible hinge
363at3041	Complete	LHPG02000005.1	1160391	1145186	-	1052.0	630	https://www.orthodb.org/v10?query=363at3041	Leucyl-tRNA synthetase
366at3041	Complete	LHPG02000007.1	1872481	1867778	-	498.0	416	https://www.orthodb.org/v10?query=366at3041	predicted protein
381at3041	Complete	LHPG02000004.1	238522	249532	+	879.6	575	https://www.orthodb.org/v10?query=381at3041	NADH
388at3041	Complete	LHPG02000018.1	270864	264068	-	1019.1	616	https://www.orthodb.org/v10?query=388at3041	dynamin-related GTPase
391at3041	Complete	LHPG02000007.1	539787	531007	-	778.8	567	https://www.orthodb.org/v10?query=391at3041	transcription-coupled DNA repair protein
406at3041	Complete	LHPG02000007.1	836033	840437	+	932.5	560	https://www.orthodb.org/v10?query=406at3041	Transketolase
412at3041	Complete	LHPG02000007.1	1418228	1423468	+	687.0	479	https://www.orthodb.org/v10?query=412at3041	Succinate dehydrogenase 
415at3041	Complete	LHPG02000007.1	1892874	1877043	-	389.1	331	https://www.orthodb.org/v10?query=415at3041	flagellar outer dynein arm intermediate chain 2
416at3041	Complete	LHPG02000005.1	871540	881558	+	699.2	409	https://www.orthodb.org/v10?query=416at3041	AMP deaminase
417at3041	Complete	LHPG02000001.1	158733	150052	-	737.0	704	https://www.orthodb.org/v10?query=417at3041	transportin
424at3041	Complete	LHPG02000001.1	1060629	1071307	+	947.8	914	https://www.orthodb.org/v10?query=424at3041	DNA polymerase
425at3041	Complete	LHPG02000008.1	936015	958523	+	738.8	671	https://www.orthodb.org/v10?query=425at3041	Cation-transporting ATPase
427at3041	Complete	LHPG02000012.1	2346737	2355718	+	763.4	537	https://www.orthodb.org/v10?query=427at3041	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, atypical
433at3041	Complete	LHPG02000018.1	954238	944450	-	795.9	580	https://www.orthodb.org/v10?query=433at3041	DNA ligase
439at3041	Complete	LHPG02000001.1	3011952	3021484	+	917.6	910	https://www.orthodb.org/v10?query=439at3041	SMCs flexible hinge
440at3041	Complete	LHPG02000001.1	4102472	4085124	-	947.7	856	https://www.orthodb.org/v10?query=440at3041	Importin beta
443at3041	Complete	LHPG02000003.1	1842944	1828595	-	468.3	498	https://www.orthodb.org/v10?query=443at3041	set domain protein
477at3041	Complete	LHPG02000006.1	745974	756731	+	802.7	512	https://www.orthodb.org/v10?query=477at3041	predicted protein
495at3041	Complete	LHPG02000009.1	585131	593042	+	748.4	674	https://www.orthodb.org/v10?query=495at3041	Pre-mRNA-processing factor 6
505at3041	Complete	LHPG02000001.1	131845	122555	-	994.5	548	https://www.orthodb.org/v10?query=505at3041	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
510at3041	Complete	LHPG02000004.1	2428624	2410525	-	620.4	414	https://www.orthodb.org/v10?query=510at3041	Importin subunit alpha
522at3041	Complete	LHPG02000022.1	601063	607260	+	837.4	675	https://www.orthodb.org/v10?query=522at3041	Eukaryotic translation initiation factor 3 subunit C
524at3041	Complete	LHPG02000012.1	352361	347121	-	656.3	507	https://www.orthodb.org/v10?query=524at3041	Sec1-like protein
534at3041	Complete	LHPG02000003.1	1316764	1322122	+	749.0	499	https://www.orthodb.org/v10?query=534at3041	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I
550at3041	Complete	LHPG02000027.1	326939	313729	-	621.9	482	https://www.orthodb.org/v10?query=550at3041	Acetolactate synthase
561at3041	Complete	LHPG02000002.1	3756131	3765606	+	916.2	539	https://www.orthodb.org/v10?query=561at3041	4Fe-4S ferredoxin, iron-sulphur binding, conserved site
570at3041	Complete	LHPG02000012.1	2064957	2077392	+	977.2	760	https://www.orthodb.org/v10?query=570at3041	26S proteasome non-ATPase regulatory subunit 1 homolog
581at3041	Complete	LHPG02000005.1	2082149	2078142	-	772.5	445	https://www.orthodb.org/v10?query=581at3041	Myo-inositol-1-phosphate synthase
587at3041	Complete	LHPG02000007.1	1120133	1113124	-	1038.8	760	https://www.orthodb.org/v10?query=587at3041	cellular apoptosis susceptibility protein
593at3041	Complete	LHPG02000028.1	32586	38655	+	490.4	361	https://www.orthodb.org/v10?query=593at3041	predicted protein
594at3041	Complete	LHPG02000005.1	698433	684213	-	722.4	571	https://www.orthodb.org/v10?query=594at3041	Peptidase S8/S53 domain
599at3041	Complete	LHPG02000003.1	1053067	1042065	-	490.4	420	https://www.orthodb.org/v10?query=599at3041	Starch synthase, chloroplastic/amyloplastic
617at3041	Duplicated	LHPG02000001.1	3116592	3101362	-	644.3	500	https://www.orthodb.org/v10?query=617at3041	Glucosamine--fructose-6-phosphateaminotransferase (Isomerizing)
619at3041	Complete	LHPG02000022.1	349281	345570	-	462.8	416	https://www.orthodb.org/v10?query=619at3041	Protein phosphatase 2A regulatory subunit
629at3041	Complete	LHPG02000001.1	3298093	3288153	-	515.9	485	https://www.orthodb.org/v10?query=629at3041	chloroplast envelope protein translocase family
633at3041	Complete	LHPG02000005.1	3213925	3222279	+	678.5	444	https://www.orthodb.org/v10?query=633at3041	AP-1 complex subunit gamma
635at3041	Complete	LHPG02000018.1	113289	104117	-	704.0	664	https://www.orthodb.org/v10?query=635at3041	DNA-directed RNA polymerase
639at3041	Complete	LHPG02000007.1	1185671	1195641	+	655.2	487	https://www.orthodb.org/v10?query=639at3041	Formate-tetrahydrofolate ligase
643at3041	Complete	LHPG02000022.1	202163	191278	-	651.7	608	https://www.orthodb.org/v10?query=643at3041	Selenide, water dikinase
652at3041	Complete	LHPG02000002.1	1863416	1872365	+	779.8	598	https://www.orthodb.org/v10?query=652at3041	ATP-dependent RNA helicase DDX1
676at3041	Complete	LHPG02000003.1	29784	16789	-	955.1	762	https://www.orthodb.org/v10?query=676at3041	FACT complex subunit SPT16
681at3041	Complete	LHPG02000001.1	1973979	1969575	-	437.5	390	https://www.orthodb.org/v10?query=681at3041	Type II secretory pathway family
697at3041	Complete	LHPG02000009.1	2380451	2356715	-	948.6	779	https://www.orthodb.org/v10?query=697at3041	Beta-galactosidase
714at3041	Complete	LHPG02000015.1	1513288	1529983	+	939.4	892	https://www.orthodb.org/v10?query=714at3041	predicted protein
721at3041	Complete	LHPG02000014.1	1600511	1595720	-	776.3	402	https://www.orthodb.org/v10?query=721at3041	NADH dehydrogenase 
727at3041	Complete	LHPG02000018.1	35959	23355	-	935.5	735	https://www.orthodb.org/v10?query=727at3041	P-loop containing nucleoside triphosphate hydrolase protein
731at3041	Complete	LHPG02000009.1	238034	229425	-	791.5	515	https://www.orthodb.org/v10?query=731at3041	Glycyl-tRNA synthetase
733at3041	Complete	LHPG02000003.1	984282	994128	+	682.9	401	https://www.orthodb.org/v10?query=733at3041	Phospho-2-dehydro-3-deoxyheptonate aldolase
743at3041	Complete	LHPG02000028.1	307931	303279	-	757.5	483	https://www.orthodb.org/v10?query=743at3041	subunit of mRNA cleavage and polyadenylation specificity factor
761at3041	Complete	LHPG02000011.1	2387682	2367406	-	607.4	455	https://www.orthodb.org/v10?query=761at3041	arginyl-tRNA synthetase
763at3041	Complete	LHPG02000001.1	840721	833818	-	774.1	589	https://www.orthodb.org/v10?query=763at3041	3-hydroxyacyl-CoA dehydrogenase
766at3041	Complete	LHPG02000006.1	2346770	2338589	-	529.8	466	https://www.orthodb.org/v10?query=766at3041	Kinesin-like protein
767at3041	Complete	LHPG02000006.1	680353	695834	+	752.7	758	https://www.orthodb.org/v10?query=767at3041	Importin 7
768at3041	Complete	LHPG02000002.1	2903433	2898695	-	730.1	445	https://www.orthodb.org/v10?query=768at3041	Aspartyl-tRNA synthetase
769at3041	Complete	LHPG02000018.1	1288533	1281257	-	649.0	477	https://www.orthodb.org/v10?query=769at3041	long-chain acyl-CoA synthetase 7
776at3041	Complete	LHPG02000019.1	338860	322414	-	1061.8	1025	https://www.orthodb.org/v10?query=776at3041	Structural maintenance of chromosomes protein
779at3041	Complete	LHPG02000001.1	2859850	2867658	+	634.4	392	https://www.orthodb.org/v10?query=779at3041	Dihydroxy-acid dehydratase
781at3041	Complete	LHPG02000019.1	268130	260587	-	739.8	510	https://www.orthodb.org/v10?query=781at3041	Nitrite/Sulfite reductase ferredoxin-like domain
782at3041	Complete	LHPG02000001.1	3222507	3227723	+	578.4	419	https://www.orthodb.org/v10?query=782at3041	Putative inactive serine/threonine-protein kinase scy1
784at3041	Complete	LHPG02000005.1	1134386	1142423	+	527.7	360	https://www.orthodb.org/v10?query=784at3041	Geranylgeranyl reductase
796at3041	Complete	LHPG02000021.1	57963	68868	+	930.2	1200	https://www.orthodb.org/v10?query=796at3041	S1 domain
799at3041	Complete	LHPG02000003.1	2120637	2115018	-	599.1	607	https://www.orthodb.org/v10?query=799at3041	component of oligomeric golgi complex 5
803at3041	Complete	LHPG02000012.1	1615886	1625666	+	650.3	396	https://www.orthodb.org/v10?query=803at3041	Phenylalanyl-tRNA synthetase alphachain
810at3041	Complete	LHPG02000015.1	567546	560505	-	558.7	415	https://www.orthodb.org/v10?query=810at3041	Cytochrome P450
812at3041	Complete	LHPG02000013.1	332433	325999	-	814.3	447	https://www.orthodb.org/v10?query=812at3041	Ketol-acid reductoisomerase
815at3041	Complete	LHPG02000004.1	856364	848067	-	740.1	540	https://www.orthodb.org/v10?query=815at3041	pantothenate kinase
818at3041	Complete	LHPG02000017.1	1241640	1230392	-	532.5	382	https://www.orthodb.org/v10?query=818at3041	Coatomer subunit delta
820at3041	Complete	LHPG02000014.1	542196	548222	+	701.8	451	https://www.orthodb.org/v10?query=820at3041	phenylalanyl-tRNA synthetase
830at3041	Complete	LHPG02000007.1	1600711	1604530	+	482.3	321	https://www.orthodb.org/v10?query=830at3041	WD40-repeat-containing domain
832at3041	Complete	LHPG02000007.1	1184685	1181086	-	763.8	404	https://www.orthodb.org/v10?query=832at3041	Vacuolar ATP synthase subunit B
863at3041	Complete	LHPG02000004.1	3477628	3491057	+	615.3	710	https://www.orthodb.org/v10?query=863at3041	chloroplast envelope anion channel-forming Tic110 family
872at3041	Complete	LHPG02000010.1	1411781	1416984	+	664.9	460	https://www.orthodb.org/v10?query=872at3041	GroEL-like apical domain superfamily
878at3041	Complete	LHPG02000012.1	1498883	1505799	+	704.9	449	https://www.orthodb.org/v10?query=878at3041	GMP synthase 
