# BUSCO version is: 5.4.7 
# The lineage dataset is: chlorophyta_odb10 (Creation date: 2020-08-05, number of genomes: 16, number of BUSCOs: 1519)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
15at3041	Complete	JABVCE010000025.1	497871	510288	+	3495.4	1899	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
42at3041	Complete	JABVCE010000030.1	18214	24445	+	2051.1	1145	https://www.orthodb.org/v10?query=42at3041	Magnesium chelatase subunit H
45at3041	Complete	CM026547.1	3310567	3321387	+	1714.1	1193	https://www.orthodb.org/v10?query=45at3041	DNA polymerase epsilon catalytic subunit
52at3041	Complete	JABVCE010000018.1	681581	671959	-	2126.1	1417	https://www.orthodb.org/v10?query=52at3041	Clathrin heavy chain
64at3041	Complete	JABVCE010000004.1	1762612	1782915	+	793.8	1534	https://www.orthodb.org/v10?query=64at3041	predicted protein
66at3041	Complete	JABVCE010000012.1	1100227	1106753	+	582.9	847	https://www.orthodb.org/v10?query=66at3041	Microtubule associated protein
72at3041	Missing
91at3041	Complete	JABVCE010000034.1	255372	261286	+	1196.3	737	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
96at3041	Complete	JABVCE010000012.1	328681	339315	+	1491.1	920	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
99at3041	Complete	JABVCE010000034.1	144265	151291	+	1267.2	869	https://www.orthodb.org/v10?query=99at3041	DNA topoisomerase 2
106at3041	Complete	JABVCE010000014.1	382307	392752	+	1592.7	1069	https://www.orthodb.org/v10?query=106at3041	PurM-like, C-terminal domain
117at3041	Complete	CM026547.1	3742693	3720689	-	2957.0	4215	https://www.orthodb.org/v10?query=117at3041	Midasin
118at3041	Complete	JABVCE010000007.1	1031963	1024353	-	713.0	776	https://www.orthodb.org/v10?query=118at3041	PIK-related kinase
125at3041	Complete	JABVCE010000002.1	1532088	1525222	-	1235.2	948	https://www.orthodb.org/v10?query=125at3041	Nuclear pre-mRNA splicing factor, component of splicing factor 3b
126at3041	Complete	JABVCE010000022.1	197388	190307	-	585.8	523	https://www.orthodb.org/v10?query=126at3041	Kinesin-like calmodulin binding protein
137at3041	Complete	JABVCE010000003.1	29673	35007	+	1579.4	899	https://www.orthodb.org/v10?query=137at3041	Splicing factor 3B subunit 1
142at3041	Complete	JABVCE010000030.1	86252	80371	-	1310.0	862	https://www.orthodb.org/v10?query=142at3041	Exportin-1
143at3041	Complete	JABVCE010000010.1	1080820	1088241	+	1324.2	821	https://www.orthodb.org/v10?query=143at3041	Glycine cleavage system P protein
144at3041	Complete	JABVCE010000027.1	227116	235441	+	1436.5	1002	https://www.orthodb.org/v10?query=144at3041	oxoprolinase family protein
155at3041	Complete	CM026547.1	2927844	2923687	-	880.2	592	https://www.orthodb.org/v10?query=155at3041	Serine/threonine-protein phosphatase
