# BUSCO version is: 5.4.7 
# The lineage dataset is: chlorophyta_odb10 (Creation date: 2020-08-05, number of genomes: 16, number of BUSCOs: 1519)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
15at3041	Complete	PCFQ01000079.1	202153	185332	-	2936.4	1711	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
42at3041	Missing
45at3041	Complete	PCFQ01000002.1	1269626	1286673	+	1690.1	1401	https://www.orthodb.org/v10?query=45at3041	DNA polymerase epsilon catalytic subunit
52at3041	Complete	PCFQ01000079.1	259033	271781	+	1814.0	1291	https://www.orthodb.org/v10?query=52at3041	Clathrin heavy chain
64at3041	Complete	PCFQ01000008.1	294486	321274	+	1038.0	1888	https://www.orthodb.org/v10?query=64at3041	predicted protein
66at3041	Complete	PCFQ01000002.1	1010751	1021287	+	1115.9	1298	https://www.orthodb.org/v10?query=66at3041	Microtubule associated protein
72at3041	Complete	PCFQ01000058.1	2646702	2658427	+	1270.4	940	https://www.orthodb.org/v10?query=72at3041	P-loop containing nucleoside triphosphate hydrolase protein
91at3041	Duplicated	PCFQ01000018.1	963400	995216	+	896.3	658	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
96at3041	Fragmented	PCFQ01000082.1	1176394	1173521	-	382.6	226	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
99at3041	Complete	PCFQ01000058.1	2133039	2141419	+	1246.2	878	https://www.orthodb.org/v10?query=99at3041	DNA topoisomerase 2
106at3041	Complete	PCFQ01000014.1	236607	246672	+	809.6	633	https://www.orthodb.org/v10?query=106at3041	PurM-like, C-terminal domain
117at3041	Complete	PCFQ01000003.1	808227	834999	+	3437.1	4217	https://www.orthodb.org/v10?query=117at3041	Midasin
118at3041	Complete	PCFQ01000018.1	1065471	1086091	+	696.2	935	https://www.orthodb.org/v10?query=118at3041	PIK-related kinase
125at3041	Missing
126at3041	Complete	PCFQ01000081.1	975220	969517	-	1061.3	650	https://www.orthodb.org/v10?query=126at3041	Kinesin-like calmodulin binding protein
137at3041	Complete	PCFQ01000077.1	693956	685647	-	702.9	503	https://www.orthodb.org/v10?query=137at3041	Splicing factor 3B subunit 1
142at3041	Complete	PCFQ01000010.1	1415881	1423965	+	1331.4	897	https://www.orthodb.org/v10?query=142at3041	Exportin-1
143at3041	Complete	PCFQ01000077.1	546336	537782	-	1210.4	824	https://www.orthodb.org/v10?query=143at3041	Glycine cleavage system P protein
144at3041	Complete	PCFQ01000007.1	319358	327962	+	1230.6	961	https://www.orthodb.org/v10?query=144at3041	oxoprolinase family protein
155at3041	Complete	PCFQ01000078.1	879376	884001	+	1017.9	639	https://www.orthodb.org/v10?query=155at3041	Serine/threonine-protein phosphatase
171at3041	Complete	PCFQ01000011.1	1650078	1626580	-	838.3	531	https://www.orthodb.org/v10?query=171at3041	ATPase, AAA-type, conserved site
175at3041	Complete	PCFQ01000015.1	540169	534495	-	619.6	461	https://www.orthodb.org/v10?query=175at3041	Histone acetyltransferase
179at3041	Complete	PCFQ01000002.1	369820	349917	-	743.6	590	https://www.orthodb.org/v10?query=179at3041	Glycoside hydrolase family 31 protein
187at3041	Complete	PCFQ01000058.1	3401760	3407665	+	1203.4	698	https://www.orthodb.org/v10?query=187at3041	Ribonucleoside-diphosphate reductase
207at3041	Complete	PCFQ01000081.1	318400	309685	-	1011.6	640	https://www.orthodb.org/v10?query=207at3041	Coatomer subunit gamma
211at3041	Complete	PCFQ01000078.1	123149	115969	-	882.5	622	https://www.orthodb.org/v10?query=211at3041	DNA polymerase
222at3041	Complete	PCFQ01000058.1	2424295	2415709	-	836.5	774	https://www.orthodb.org/v10?query=222at3041	WD40-repeat-containing domain
226at3041	Complete	PCFQ01000077.1	387409	378096	-	736.8	585	https://www.orthodb.org/v10?query=226at3041	Glycine-tRNA ligase, alpha subunit
228at3041	Complete	PCFQ01000005.1	824464	844951	+	739.7	1092	https://www.orthodb.org/v10?query=228at3041	Translational activator GCN1
230at3041	Complete	PCFQ01000018.1	1379829	1393702	+	1005.2	688	https://www.orthodb.org/v10?query=230at3041	Leucyl-tRNA synthetase
231at3041	Complete	PCFQ01000006.1	1064446	1069076	+	895.4	571	https://www.orthodb.org/v10?query=231at3041	1-deoxy-D-xylulose 5-phosphate synthase
235at3041	Complete	PCFQ01000007.1	235267	227992	-	682.8	914	https://www.orthodb.org/v10?query=235at3041	predicted protein
239at3041	Complete	PCFQ01000015.1	1424840	1418598	-	605.1	519	https://www.orthodb.org/v10?query=239at3041	WD40-repeat-containing domain
246at3041	Complete	PCFQ01000018.1	13971	4897	-	715.4	821	https://www.orthodb.org/v10?query=246at3041	UV-damaged DNA binding complex subunit 1 protein
251at3041	Complete	PCFQ01000079.1	382620	390565	+	757.1	660	https://www.orthodb.org/v10?query=251at3041	Importin subunit beta-1
256at3041	Missing
263at3041	Complete	PCFQ01000009.1	54196	49380	-	1111.9	717	https://www.orthodb.org/v10?query=263at3041	Coatomer subunit beta
290at3041	Complete	PCFQ01000015.1	247898	237187	-	759.2	650	https://www.orthodb.org/v10?query=290at3041	RNA cytidine acetyltransferase
294at3041	Complete	PCFQ01000078.1	364392	360135	-	800.0	515	https://www.orthodb.org/v10?query=294at3041	Transmembrane 9 superfamily member
295at3041	Complete	PCFQ01000073.1	151093	156050	+	698.4	486	https://www.orthodb.org/v10?query=295at3041	Glutamyl-tRNA synthetase
307at3041	Complete	PCFQ01000001.1	544640	553453	+	907.4	725	https://www.orthodb.org/v10?query=307at3041	26S proteasome non-ATPase regulatory subunit 2 homolog
322at3041	Complete	PCFQ01000037.1	1282512	1291284	+	752.5	719	https://www.orthodb.org/v10?query=322at3041	Ribosome biogenesis protein BMS1
324at3041	Complete	PCFQ01000078.1	254130	248907	-	987.2	617	https://www.orthodb.org/v10?query=324at3041	ATP-dependent helicase, C-terminal
336at3041	Fragmented	PCFQ01000013.1	6622	90799	+	678.9	433	https://www.orthodb.org/v10?query=336at3041	Elongation factor G, chloroplastic
345at3041	Complete	PCFQ01000003.1	168494	164954	-	928.1	563	https://www.orthodb.org/v10?query=345at3041	Membrane AAA-metalloprotease
346at3041	Complete	PCFQ01000058.1	976268	965816	-	745.2	622	https://www.orthodb.org/v10?query=346at3041	SMCs flexible hinge
363at3041	Complete	PCFQ01000058.1	751602	767004	+	802.8	609	https://www.orthodb.org/v10?query=363at3041	Leucyl-tRNA synthetase
366at3041	Complete	PCFQ01000009.1	212286	209121	-	540.6	406	https://www.orthodb.org/v10?query=366at3041	predicted protein
381at3041	Complete	PCFQ01000037.1	434710	443955	+	762.9	570	https://www.orthodb.org/v10?query=381at3041	NADH
388at3041	Complete	PCFQ01000079.1	3115853	3109834	-	806.3	508	https://www.orthodb.org/v10?query=388at3041	dynamin-related GTPase
391at3041	Complete	PCFQ01000037.1	1406075	1412279	+	546.9	450	https://www.orthodb.org/v10?query=391at3041	transcription-coupled DNA repair protein
406at3041	Complete	PCFQ01000011.1	9883	14053	+	957.7	569	https://www.orthodb.org/v10?query=406at3041	Transketolase
412at3041	Complete	PCFQ01000081.1	83087	79233	-	887.5	488	https://www.orthodb.org/v10?query=412at3041	Succinate dehydrogenase 
415at3041	Complete	PCFQ01000081.1	784889	782894	-	580.1	405	https://www.orthodb.org/v10?query=415at3041	flagellar outer dynein arm intermediate chain 2
416at3041	Complete	PCFQ01000058.1	399693	405826	+	563.3	376	https://www.orthodb.org/v10?query=416at3041	AMP deaminase
417at3041	Complete	PCFQ01000082.1	1314535	1307479	-	621.7	624	https://www.orthodb.org/v10?query=417at3041	transportin
424at3041	Complete	PCFQ01000079.1	151289	142266	-	920.7	847	https://www.orthodb.org/v10?query=424at3041	DNA polymerase
425at3041	Complete	PCFQ01000025.1	16307	14772	-	93.5	450	https://www.orthodb.org/v10?query=425at3041	Cation-transporting ATPase
427at3041	Complete	PCFQ01000020.1	15593	9922	-	710.5	596	https://www.orthodb.org/v10?query=427at3041	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, atypical
433at3041	Complete	PCFQ01000002.1	109748	104353	-	467.2	409	https://www.orthodb.org/v10?query=433at3041	DNA ligase
439at3041	Complete	PCFQ01000008.1	611316	616644	+	1044.1	920	https://www.orthodb.org/v10?query=439at3041	SMCs flexible hinge
440at3041	Missing
443at3041	Complete	PCFQ01000078.1	1269855	1270808	+	243.0	152	https://www.orthodb.org/v10?query=443at3041	set domain protein
477at3041	Complete	PCFQ01000015.1	814643	808318	-	601.4	440	https://www.orthodb.org/v10?query=477at3041	predicted protein
495at3041	Complete	PCFQ01000006.1	323200	319059	-	785.8	550	https://www.orthodb.org/v10?query=495at3041	Pre-mRNA-processing factor 6
505at3041	Complete	PCFQ01000082.1	1293330	1303901	+	682.6	434	https://www.orthodb.org/v10?query=505at3041	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
510at3041	Complete	PCFQ01000004.1	859547	854393	-	597.0	391	https://www.orthodb.org/v10?query=510at3041	Importin subunit alpha
522at3041	Complete	PCFQ01000006.1	1048973	1054017	+	684.9	626	https://www.orthodb.org/v10?query=522at3041	Eukaryotic translation initiation factor 3 subunit C
524at3041	Complete	PCFQ01000020.1	460563	464883	+	554.3	490	https://www.orthodb.org/v10?query=524at3041	Sec1-like protein
