# BUSCO version is: 5.4.7 
# The lineage dataset is: chlorophyta_odb10 (Creation date: 2020-08-05, number of genomes: 16, number of BUSCOs: 1519)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
15at3041	Complete	QAXK01005880.1	1	9276	+	2500.8	1237	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
42at3041	Complete	QAXK01005917.1	319	7230	+	2168.0	1127	https://www.orthodb.org/v10?query=42at3041	Magnesium chelatase subunit H
45at3041	Fragmented	QAXK01010555.1	11805	11013	-	109.7	112	https://www.orthodb.org/v10?query=45at3041	DNA polymerase epsilon catalytic subunit
52at3041	Complete	QAXK01001518.1	29154	38461	+	1966.8	1339	https://www.orthodb.org/v10?query=52at3041	Clathrin heavy chain
64at3041	Duplicated	QAXK01007476.1	22873	24252	+	292.0	199	https://www.orthodb.org/v10?query=64at3041	predicted protein
64at3041	Duplicated	QAXK01007594.1	3850	5800	+	265.8	159	https://www.orthodb.org/v10?query=64at3041	predicted protein
66at3041	Complete	QAXK01006171.1	11343	179	-	796.9	990	https://www.orthodb.org/v10?query=66at3041	Microtubule associated protein
72at3041	Fragmented	QAXK01008686.1	4631	77	-	499.6	308	https://www.orthodb.org/v10?query=72at3041	P-loop containing nucleoside triphosphate hydrolase protein
91at3041	Duplicated	QAXK01002348.1	338	5420	+	818.6	491	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
91at3041	Duplicated	QAXK01012132.1	10804	1873	-	727.4	657	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
96at3041	Complete	QAXK01000446.1	58269	64323	+	1505.6	913	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
99at3041	Complete	QAXK01001162.1	4704	11654	+	1270.6	800	https://www.orthodb.org/v10?query=99at3041	DNA topoisomerase 2
106at3041	Complete	QAXK01003694.1	10054	1111	-	1668.6	1072	https://www.orthodb.org/v10?query=106at3041	PurM-like, C-terminal domain
117at3041	Complete	QAXK01007307.1	6962	7960	+	522.0	283	https://www.orthodb.org/v10?query=117at3041	Midasin
118at3041	Missing
125at3041	Complete	QAXK01003319.1	3618	13354	+	1494.1	1015	https://www.orthodb.org/v10?query=125at3041	Nuclear pre-mRNA splicing factor, component of splicing factor 3b
126at3041	Complete	QAXK01011133.1	12839	6837	-	738.6	451	https://www.orthodb.org/v10?query=126at3041	Kinesin-like calmodulin binding protein
137at3041	Duplicated	QAXK01001387.1	20962	14626	-	1672.3	884	https://www.orthodb.org/v10?query=137at3041	Splicing factor 3B subunit 1
137at3041	Duplicated	QAXK01013523.1	1275	7216	+	1454.7	779	https://www.orthodb.org/v10?query=137at3041	Splicing factor 3B subunit 1
142at3041	Complete	QAXK01000367.1	8675	18356	+	1361.0	857	https://www.orthodb.org/v10?query=142at3041	Exportin-1
143at3041	Duplicated	QAXK01007722.1	6043	4058	-	783.5	554	https://www.orthodb.org/v10?query=143at3041	Glycine cleavage system P protein
143at3041	Duplicated	QAXK01010146.1	328	4921	+	865.1	497	https://www.orthodb.org/v10?query=143at3041	Glycine cleavage system P protein
144at3041	Complete	QAXK01001134.1	10091	19430	+	1452.4	956	https://www.orthodb.org/v10?query=144at3041	oxoprolinase family protein
155at3041	Complete	QAXK01004177.1	17288	11319	-	1038.3	611	https://www.orthodb.org/v10?query=155at3041	Serine/threonine-protein phosphatase
171at3041	Complete	QAXK01009146.1	0	3841	+	1097.8	560	https://www.orthodb.org/v10?query=171at3041	ATPase, AAA-type, conserved site
175at3041	Complete	QAXK01002353.1	6519	15187	+	980.2	771	https://www.orthodb.org/v10?query=175at3041	Histone acetyltransferase
179at3041	Complete	QAXK01006977.1	27647	33279	+	956.1	617	https://www.orthodb.org/v10?query=179at3041	Glycoside hydrolase family 31 protein
187at3041	Complete	QAXK01001201.1	5367	10319	+	1263.8	706	https://www.orthodb.org/v10?query=187at3041	Ribonucleoside-diphosphate reductase
207at3041	Complete	QAXK01000362.1	13682	19843	+	1057.4	689	https://www.orthodb.org/v10?query=207at3041	Coatomer subunit gamma
211at3041	Complete	QAXK01000019.1	127	3831	+	389.6	283	https://www.orthodb.org/v10?query=211at3041	DNA polymerase
222at3041	Complete	QAXK01005359.1	3667	6796	+	563.4	291	https://www.orthodb.org/v10?query=222at3041	WD40-repeat-containing domain
