# BUSCO version is: 5.4.7 
# The lineage dataset is: chlorophyta_odb10 (Creation date: 2020-08-05, number of genomes: 16, number of BUSCOs: 1519)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
15at3041	Complete	SIDB01000005.1	313782	299058	-	3540.6	1869	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
42at3041	Complete	SIDB01000003.1	1208464	1219932	+	2024.3	1138	https://www.orthodb.org/v10?query=42at3041	Magnesium chelatase subunit H
45at3041	Complete	SIDB01000007.1	39364	63095	+	2020.5	1557	https://www.orthodb.org/v10?query=45at3041	DNA polymerase epsilon catalytic subunit
52at3041	Complete	SIDB01000005.1	964449	947457	-	2379.1	1433	https://www.orthodb.org/v10?query=52at3041	Clathrin heavy chain
64at3041	Complete	SIDB01000009.1	812330	844163	+	1170.7	1915	https://www.orthodb.org/v10?query=64at3041	predicted protein
66at3041	Complete	SIDB01000007.1	288941	274878	-	1284.8	1346	https://www.orthodb.org/v10?query=66at3041	Microtubule associated protein
72at3041	Complete	SIDB01000014.1	41770	30867	-	1403.4	964	https://www.orthodb.org/v10?query=72at3041	P-loop containing nucleoside triphosphate hydrolase protein
91at3041	Complete	SIDB01000008.1	1693100	1684906	-	1393.5	822	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
96at3041	Complete	SIDB01000011.1	1443131	1538549	+	1487.8	942	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
99at3041	Complete	SIDB01000004.1	1487152	1474603	-	1119.8	839	https://www.orthodb.org/v10?query=99at3041	DNA topoisomerase 2
106at3041	Complete	SIDB01000005.1	1526525	1536962	+	1678.3	1080	https://www.orthodb.org/v10?query=106at3041	PurM-like, C-terminal domain
117at3041	Complete	SIDB01000006.1	1303022	1335443	+	3850.8	4558	https://www.orthodb.org/v10?query=117at3041	Midasin
118at3041	Complete	SIDB01000003.1	747253	758317	+	1270.7	1138	https://www.orthodb.org/v10?query=118at3041	PIK-related kinase
125at3041	Complete	SIDB01000001.1	1712988	1723641	+	1510.2	1010	https://www.orthodb.org/v10?query=125at3041	Nuclear pre-mRNA splicing factor, component of splicing factor 3b
126at3041	Complete	SIDB01000001.1	5184919	5193434	+	1100.7	706	https://www.orthodb.org/v10?query=126at3041	Kinesin-like calmodulin binding protein
137at3041	Complete	SIDB01000009.1	389575	398903	+	1546.8	926	https://www.orthodb.org/v10?query=137at3041	Splicing factor 3B subunit 1
142at3041	Complete	SIDB01000007.1	2810875	2822383	+	1412.9	874	https://www.orthodb.org/v10?query=142at3041	Exportin-1
143at3041	Complete	SIDB01000009.1	911869	922182	+	1196.7	801	https://www.orthodb.org/v10?query=143at3041	Glycine cleavage system P protein
144at3041	Complete	SIDB01000001.1	4467176	4475252	+	1441.3	947	https://www.orthodb.org/v10?query=144at3041	oxoprolinase family protein
155at3041	Complete	SIDB01000002.1	3504133	3495328	-	910.8	612	https://www.orthodb.org/v10?query=155at3041	Serine/threonine-protein phosphatase
171at3041	Complete	SIDB01000002.1	1223496	1233938	+	1283.9	667	https://www.orthodb.org/v10?query=171at3041	ATPase, AAA-type, conserved site
175at3041	Complete	SIDB01000003.1	2176128	2163518	-	805.9	687	https://www.orthodb.org/v10?query=175at3041	Histone acetyltransferase
179at3041	Complete	SIDB01000007.1	1412825	1406626	-	906.0	609	https://www.orthodb.org/v10?query=179at3041	Glycoside hydrolase family 31 protein
187at3041	Complete	SIDB01000003.1	363924	369441	+	1223.1	726	https://www.orthodb.org/v10?query=187at3041	Ribonucleoside-diphosphate reductase
207at3041	Complete	SIDB01000001.1	3700130	3694504	-	1115.9	689	https://www.orthodb.org/v10?query=207at3041	Coatomer subunit gamma
211at3041	Complete	SIDB01000002.1	2421869	2427883	+	1294.6	791	https://www.orthodb.org/v10?query=211at3041	DNA polymerase
222at3041	Complete	SIDB01000014.1	145349	133138	-	1065.9	938	https://www.orthodb.org/v10?query=222at3041	WD40-repeat-containing domain
226at3041	Complete	SIDB01000009.1	187756	177725	-	1258.2	831	https://www.orthodb.org/v10?query=226at3041	Glycine-tRNA ligase, alpha subunit
228at3041	Complete	SIDB01000010.1	1241452	1262033	+	2157.1	2125	https://www.orthodb.org/v10?query=228at3041	Translational activator GCN1
230at3041	Complete	SIDB01000003.1	474895	481674	+	1271.6	845	https://www.orthodb.org/v10?query=230at3041	Leucyl-tRNA synthetase
231at3041	Complete	SIDB01000003.1	698034	701526	+	1102.3	611	https://www.orthodb.org/v10?query=231at3041	1-deoxy-D-xylulose 5-phosphate synthase
235at3041	Complete	SIDB01000001.1	5345035	5334605	-	828.4	959	https://www.orthodb.org/v10?query=235at3041	predicted protein
239at3041	Complete	SIDB01000003.1	2434254	2425314	-	628.2	543	https://www.orthodb.org/v10?query=239at3041	WD40-repeat-containing domain
246at3041	Complete	SIDB01000008.1	2250660	2260463	+	1109.8	847	https://www.orthodb.org/v10?query=246at3041	UV-damaged DNA binding complex subunit 1 protein
251at3041	Complete	SIDB01000009.1	2347801	2341442	-	796.9	674	https://www.orthodb.org/v10?query=251at3041	Importin subunit beta-1
256at3041	Complete	SIDB01000001.1	2766387	2758525	-	1100.4	916	https://www.orthodb.org/v10?query=256at3041	SMCs flexible hinge
263at3041	Complete	SIDB01000001.1	2984561	2978090	-	1244.0	780	https://www.orthodb.org/v10?query=263at3041	Coatomer subunit beta
290at3041	Complete	SIDB01000003.1	1804151	1793467	-	1209.6	721	https://www.orthodb.org/v10?query=290at3041	RNA cytidine acetyltransferase
