# BUSCO version is: 5.4.7 
# The lineage dataset is: chlorophyta_odb10 (Creation date: 2020-08-05, number of genomes: 16, number of BUSCOs: 1519)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
15at3041	Fragmented	BHFV01001493.1:6039-3386	3386	6039	-	508.6	251	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
42at3041	Complete	BHFV01000890.1	1797	7696	+	1934.1	1139	https://www.orthodb.org/v10?query=42at3041	Magnesium chelatase subunit H
45at3041	Complete	BHFV01000383.1:15797-2157	2157	15797	-	1944.2	1249	https://www.orthodb.org/v10?query=45at3041	DNA polymerase epsilon catalytic subunit
52at3041	Complete	BHFV01000389.1:18173-7366	7366	18173	-	2268.9	1421	https://www.orthodb.org/v10?query=52at3041	Clathrin heavy chain
64at3041	Complete	BHFV01000542.1:2606-2090	2090	2606	-	188.3	91	https://www.orthodb.org/v10?query=64at3041	predicted protein
66at3041	Complete	BHFV01000181.1	5666	26742	+	828.6	1026	https://www.orthodb.org/v10?query=66at3041	Microtubule associated protein
72at3041	Missing
91at3041	Complete	BHFV01001192.1:8403-2075	2075	8403	-	1386.7	813	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
96at3041	Fragmented	BHFV01001237.1	5463	6375	+	206.4	116	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
99at3041	Complete	BHFV01001293.1:5880-1435	1435	5880	-	1135.0	815	https://www.orthodb.org/v10?query=99at3041	DNA topoisomerase 2
106at3041	Missing
117at3041	Complete	BHFV01000223.1	20466	32522	+	1819.9	1485	https://www.orthodb.org/v10?query=117at3041	Midasin
118at3041	Complete	BHFV01001233.1	2224	2373	+	29.2	31	https://www.orthodb.org/v10?query=118at3041	PIK-related kinase
125at3041	Complete	BHFV01000717.1	30	8065	+	1106.5	823	https://www.orthodb.org/v10?query=125at3041	Nuclear pre-mRNA splicing factor, component of splicing factor 3b
