# BUSCO version is: 5.4.7 
# The lineage dataset is: chlorophyta_odb10 (Creation date: 2020-08-05, number of genomes: 16, number of BUSCOs: 1519)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
15at3041	Complete	AYPS01000293.1	1	5625	+	3479.7	1662	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
42at3041	Missing
45at3041	Complete	AYPS01000338.1	1537	5612	+	1951.7	1027	https://www.orthodb.org/v10?query=45at3041	DNA polymerase epsilon catalytic subunit
52at3041	Fragmented	AYPS01000039.1	9749	8466	-	585.4	358	https://www.orthodb.org/v10?query=52at3041	Clathrin heavy chain
64at3041	Complete	AYPS01002346.1	888	1700	+	331.5	217	https://www.orthodb.org/v10?query=64at3041	predicted protein
66at3041	Fragmented	AYPS01002048.1	1082	2093	+	151.2	139	https://www.orthodb.org/v10?query=66at3041	Microtubule associated protein
72at3041	Complete	AYPS01001673.1	2523	1	-	827.0	597	https://www.orthodb.org/v10?query=72at3041	P-loop containing nucleoside triphosphate hydrolase protein
91at3041	Fragmented	AYPS01004390.1	846	1	-	433.6	253	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
96at3041	Complete	AYPS01000544.1	4498	557	-	1568.7	909	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
99at3041	Complete	AYPS01000081.1	2712	30	-	1301.0	757	https://www.orthodb.org/v10?query=99at3041	DNA topoisomerase 2
106at3041	Complete	AYPS01000378.1	2547	5393	+	1223.7	745	https://www.orthodb.org/v10?query=106at3041	PurM-like, C-terminal domain
117at3041	Complete	AYPS01000977.1	2	3478	+	1632.0	1036	https://www.orthodb.org/v10?query=117at3041	Midasin
118at3041	Complete	AYPS01003004.1	2	1405	+	452.5	307	https://www.orthodb.org/v10?query=118at3041	PIK-related kinase
125at3041	Fragmented	AYPS01000310.1	1108	2	-	445.1	272	https://www.orthodb.org/v10?query=125at3041	Nuclear pre-mRNA splicing factor, component of splicing factor 3b
126at3041	Fragmented	AYPS01001008.1	3417	110	-	611.6	342	https://www.orthodb.org/v10?query=126at3041	Kinesin-like calmodulin binding protein
137at3041	Complete	AYPS01001153.1	3098	264	-	1596.8	860	https://www.orthodb.org/v10?query=137at3041	Splicing factor 3B subunit 1
142at3041	Complete	AYPS01000527.1	119	3767	+	1470.2	858	https://www.orthodb.org/v10?query=142at3041	Exportin-1
143at3041	Complete	AYPS01002212.1	2	1432	+	812.6	437	https://www.orthodb.org/v10?query=143at3041	Glycine cleavage system P protein
144at3041	Complete	AYPS01000309.1	5780	3072	-	1021.0	647	https://www.orthodb.org/v10?query=144at3041	oxoprolinase family protein
155at3041	Complete	AYPS01003879.1	1053	19	-	605.5	316	https://www.orthodb.org/v10?query=155at3041	Serine/threonine-protein phosphatase
171at3041	Complete	AYPS01001908.1	2272	2	-	1353.0	681	https://www.orthodb.org/v10?query=171at3041	ATPase, AAA-type, conserved site
