# BUSCO version is: 5.4.7 
# The lineage dataset is: chlorophyta_odb10 (Creation date: 2020-08-05, number of genomes: 16, number of BUSCOs: 1519)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
15at3041	Complete	KQ482003.1	766070	783612	+	3684.5	1966	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
42at3041	Complete	KQ482057.1	1403334	1394436	-	1529.6	920	https://www.orthodb.org/v10?query=42at3041	Magnesium chelatase subunit H
45at3041	Complete	KQ482046.1	169969	151236	-	1092.3	823	https://www.orthodb.org/v10?query=45at3041	DNA polymerase epsilon catalytic subunit
52at3041	Complete	KQ482003.1	1490640	1477724	-	2091.0	1366	https://www.orthodb.org/v10?query=52at3041	Clathrin heavy chain
64at3041	Complete	KQ481938.1	1356115	1318352	-	866.1	1905	https://www.orthodb.org/v10?query=64at3041	predicted protein
66at3041	Complete	KQ482062.1	206088	218801	+	1267.3	1392	https://www.orthodb.org/v10?query=66at3041	Microtubule associated protein
72at3041	Complete	KQ482074.1	20606	14558	-	930.4	541	https://www.orthodb.org/v10?query=72at3041	P-loop containing nucleoside triphosphate hydrolase protein
91at3041	Complete	KQ482003.1	1846107	1856339	+	1161.8	749	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
96at3041	Complete	KQ482029.1	192635	182229	-	1011.4	657	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
99at3041	Complete	KQ481993.1	719941	708163	-	1297.7	888	https://www.orthodb.org/v10?query=99at3041	DNA topoisomerase 2
106at3041	Complete	KQ482003.1	972620	980420	+	1602.5	1036	https://www.orthodb.org/v10?query=106at3041	PurM-like, C-terminal domain
117at3041	Complete	KQ482051.1	432201	464787	+	3501.5	4457	https://www.orthodb.org/v10?query=117at3041	Midasin
118at3041	Complete	KQ482057.1	371654	358857	-	1360.1	1141	https://www.orthodb.org/v10?query=118at3041	PIK-related kinase
125at3041	Missing
126at3041	Complete	KQ482039.1	68262	60378	-	829.9	589	https://www.orthodb.org/v10?query=126at3041	Kinesin-like calmodulin binding protein
137at3041	Complete	KQ481938.1	720485	731921	+	728.5	502	https://www.orthodb.org/v10?query=137at3041	Splicing factor 3B subunit 1
142at3041	Complete	KQ482050.1	325506	314733	-	1292.3	807	https://www.orthodb.org/v10?query=142at3041	Exportin-1
143at3041	Complete	KQ481938.1	1504495	1496643	-	1354.9	822	https://www.orthodb.org/v10?query=143at3041	Glycine cleavage system P protein
144at3041	Complete	KQ481950.1	532621	524189	-	974.1	661	https://www.orthodb.org/v10?query=144at3041	oxoprolinase family protein
155at3041	Complete	KQ482042.1	1502531	1517071	+	826.6	531	https://www.orthodb.org/v10?query=155at3041	Serine/threonine-protein phosphatase
171at3041	Complete	KQ482061.1	996758	1008367	+	1250.3	655	https://www.orthodb.org/v10?query=171at3041	ATPase, AAA-type, conserved site
175at3041	Complete	KQ481946.1	1040717	1027128	-	576.9	512	https://www.orthodb.org/v10?query=175at3041	Histone acetyltransferase
179at3041	Missing
187at3041	Complete	KQ482057.1	615366	608500	-	1284.1	722	https://www.orthodb.org/v10?query=187at3041	Ribonucleoside-diphosphate reductase
207at3041	Complete	KQ481983.1	2279609	2268147	-	879.0	671	https://www.orthodb.org/v10?query=207at3041	Coatomer subunit gamma
211at3041	Complete	KQ481956.1	15017	22242	+	1268.0	834	https://www.orthodb.org/v10?query=211at3041	DNA polymerase
222at3041	Missing
226at3041	Fragmented	KQ482017.1	594405	605214	+	526.3	418	https://www.orthodb.org/v10?query=226at3041	Glycine-tRNA ligase, alpha subunit
228at3041	Complete	KQ481993.1	1575566	1556931	-	1566.1	1391	https://www.orthodb.org/v10?query=228at3041	Translational activator GCN1
230at3041	Complete	KQ482057.1	675193	663970	-	1165.2	878	https://www.orthodb.org/v10?query=230at3041	Leucyl-tRNA synthetase
231at3041	Complete	KQ482057.1	334258	330180	-	1057.3	633	https://www.orthodb.org/v10?query=231at3041	1-deoxy-D-xylulose 5-phosphate synthase
235at3041	Complete	KQ482039.1	213452	225482	+	387.9	560	https://www.orthodb.org/v10?query=235at3041	predicted protein
239at3041	Complete	KQ482028.1	317040	309963	-	609.7	546	https://www.orthodb.org/v10?query=239at3041	WD40-repeat-containing domain
246at3041	Complete	KQ482066.1	1437068	1416075	-	736.6	625	https://www.orthodb.org/v10?query=246at3041	UV-damaged DNA binding complex subunit 1 protein
251at3041	Complete	KQ481962.1	653955	661112	+	582.3	577	https://www.orthodb.org/v10?query=251at3041	Importin subunit beta-1
256at3041	Missing
263at3041	Complete	KQ481983.1	3318863	3324354	+	1029.5	639	https://www.orthodb.org/v10?query=263at3041	Coatomer subunit beta
290at3041	Fragmented	KQ481946.1	565024	563322	-	419.5	205	https://www.orthodb.org/v10?query=290at3041	RNA cytidine acetyltransferase
294at3041	Complete	KQ482042.1	2186492	2182120	-	838.4	503	https://www.orthodb.org/v10?query=294at3041	Transmembrane 9 superfamily member
295at3041	Complete	KQ482066.1	1072722	1079368	+	581.2	401	https://www.orthodb.org/v10?query=295at3041	Glutamyl-tRNA synthetase
307at3041	Complete	KQ481997.1	1076186	1086167	+	927.2	657	https://www.orthodb.org/v10?query=307at3041	26S proteasome non-ATPase regulatory subunit 2 homolog
322at3041	Complete	KQ482040.1	1208771	1219005	+	632.9	578	https://www.orthodb.org/v10?query=322at3041	Ribosome biogenesis protein BMS1
324at3041	Complete	KQ482042.1	2516626	2510670	-	719.3	445	https://www.orthodb.org/v10?query=324at3041	ATP-dependent helicase, C-terminal
336at3041	Fragmented	ANZC01004497.1	2	3346	+	579.8	343	https://www.orthodb.org/v10?query=336at3041	Elongation factor G, chloroplastic
