# BUSCO version is: 5.4.7 
# The lineage dataset is: chlorophyta_odb10 (Creation date: 2020-08-05, number of genomes: 16, number of BUSCOs: 1519)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
15at3041	Complete	AGSI01000004.1	2663409	2677284	+	3881.2	1937	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
42at3041	Complete	AGSI01000005.1	2947280	2938210	-	1899.5	1101	https://www.orthodb.org/v10?query=42at3041	Magnesium chelatase subunit H
45at3041	Complete	AGSI01000005.1	2361503	2341752	-	2041.1	1363	https://www.orthodb.org/v10?query=45at3041	DNA polymerase epsilon catalytic subunit
52at3041	Complete	AGSI01000002.1	1991923	2001030	+	2317.5	1376	https://www.orthodb.org/v10?query=52at3041	Clathrin heavy chain
64at3041	Complete	AGSI01000004.1	941918	940760	-	239.6	139	https://www.orthodb.org/v10?query=64at3041	predicted protein
66at3041	Complete	AGSI01000021.1	1075512	1084333	+	1030.0	951	https://www.orthodb.org/v10?query=66at3041	Microtubule associated protein
72at3041	Complete	AGSI01000011.1	271082	255180	-	1525.9	996	https://www.orthodb.org/v10?query=72at3041	P-loop containing nucleoside triphosphate hydrolase protein
91at3041	Complete	AGSI01000006.1	1692945	1699496	+	1362.2	813	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
96at3041	Complete	AGSI01000014.1	1070274	1062227	-	1418.1	808	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
99at3041	Complete	AGSI01000007.1	2339232	2350247	+	1247.9	849	https://www.orthodb.org/v10?query=99at3041	DNA topoisomerase 2
106at3041	Complete	AGSI01000007.1	1895736	1882712	-	1605.2	1037	https://www.orthodb.org/v10?query=106at3041	PurM-like, C-terminal domain
117at3041	Complete	AGSI01000003.1	1492122	1507453	+	2060.3	1709	https://www.orthodb.org/v10?query=117at3041	Midasin
118at3041	Complete	AGSI01000007.1	913218	897465	-	905.0	734	https://www.orthodb.org/v10?query=118at3041	PIK-related kinase
125at3041	Complete	AGSI01000002.1	3001545	2995296	-	1520.9	939	https://www.orthodb.org/v10?query=125at3041	Nuclear pre-mRNA splicing factor, component of splicing factor 3b
126at3041	Complete	AGSI01000001.1	2561131	2553007	-	1180.9	746	https://www.orthodb.org/v10?query=126at3041	Kinesin-like calmodulin binding protein
137at3041	Complete	AGSI01000004.1	1072075	1064164	-	1575.4	835	https://www.orthodb.org/v10?query=137at3041	Splicing factor 3B subunit 1
142at3041	Complete	AGSI01000011.1	642995	631998	-	1520.2	869	https://www.orthodb.org/v10?query=142at3041	Exportin-1
143at3041	Complete	AGSI01000004.1	1312039	1304931	-	1282.2	753	https://www.orthodb.org/v10?query=143at3041	Glycine cleavage system P protein
144at3041	Complete	AGSI01000001.1	2173140	2165496	-	1474.8	949	https://www.orthodb.org/v10?query=144at3041	oxoprolinase family protein
155at3041	Complete	AGSI01000013.1	8230	15034	+	912.9	628	https://www.orthodb.org/v10?query=155at3041	Serine/threonine-protein phosphatase
171at3041	Complete	AGSI01000006.1	719254	725714	+	1333.2	672	https://www.orthodb.org/v10?query=171at3041	ATPase, AAA-type, conserved site
175at3041	Complete	AGSI01000007.1	1950484	1957239	+	929.0	628	https://www.orthodb.org/v10?query=175at3041	Histone acetyltransferase
179at3041	Complete	AGSI01000014.1	1525085	1529200	+	979.1	666	https://www.orthodb.org/v10?query=179at3041	Glycoside hydrolase family 31 protein
187at3041	Complete	AGSI01000017.1	1305073	1309755	+	1335.6	709	https://www.orthodb.org/v10?query=187at3041	Ribonucleoside-diphosphate reductase
207at3041	Complete	AGSI01000001.1	1819970	1826250	+	1113.6	683	https://www.orthodb.org/v10?query=207at3041	Coatomer subunit gamma
211at3041	Complete	AGSI01000010.1	300141	311340	+	1330.3	818	https://www.orthodb.org/v10?query=211at3041	DNA polymerase
222at3041	Complete	AGSI01000008.1	1263934	1260908	-	685.2	335	https://www.orthodb.org/v10?query=222at3041	WD40-repeat-containing domain
226at3041	Complete	AGSI01000009.1	504591	513646	+	950.0	750	https://www.orthodb.org/v10?query=226at3041	Glycine-tRNA ligase, alpha subunit
228at3041	Complete	AGSI01000013.1	1073741	1068590	-	1398.3	880	https://www.orthodb.org/v10?query=228at3041	Translational activator GCN1
230at3041	Complete	AGSI01000018.1	563467	572688	+	1356.9	832	https://www.orthodb.org/v10?query=230at3041	Leucyl-tRNA synthetase
231at3041	Complete	AGSI01000010.1	1324959	1329200	+	1011.9	551	https://www.orthodb.org/v10?query=231at3041	1-deoxy-D-xylulose 5-phosphate synthase
235at3041	Complete	AGSI01000001.1	2120238	2121386	+	223.5	166	https://www.orthodb.org/v10?query=235at3041	predicted protein
239at3041	Complete	AGSI01000021.1	297541	292425	-	473.2	444	https://www.orthodb.org/v10?query=239at3041	WD40-repeat-containing domain
246at3041	Complete	AGSI01000006.1	2157832	2150571	-	1113.7	793	https://www.orthodb.org/v10?query=246at3041	UV-damaged DNA binding complex subunit 1 protein
251at3041	Complete	AGSI01000001.1	1366473	1370577	+	627.5	532	https://www.orthodb.org/v10?query=251at3041	Importin subunit beta-1
256at3041	Complete	AGSI01000018.1	215447	200789	-	1130.5	774	https://www.orthodb.org/v10?query=256at3041	SMCs flexible hinge
263at3041	Complete	AGSI01000009.1	819278	826972	+	1214.0	752	https://www.orthodb.org/v10?query=263at3041	Coatomer subunit beta
290at3041	Complete	AGSI01000021.1	539282	531682	-	1263.4	767	https://www.orthodb.org/v10?query=290at3041	RNA cytidine acetyltransferase
294at3041	Complete	AGSI01000013.1	818392	815204	-	943.0	531	https://www.orthodb.org/v10?query=294at3041	Transmembrane 9 superfamily member
295at3041	Complete	AGSI01000009.1	475919	470580	-	747.2	494	https://www.orthodb.org/v10?query=295at3041	Glutamyl-tRNA synthetase
307at3041	Complete	AGSI01000009.1	1167255	1173216	+	949.9	656	https://www.orthodb.org/v10?query=307at3041	26S proteasome non-ATPase regulatory subunit 2 homolog
322at3041	Complete	AGSI01000015.1	241201	253726	+	921.8	720	https://www.orthodb.org/v10?query=322at3041	Ribosome biogenesis protein BMS1
324at3041	Complete	AGSI01000002.1	2850347	2844962	-	1009.2	631	https://www.orthodb.org/v10?query=324at3041	ATP-dependent helicase, C-terminal
336at3041	Complete	AGSI01000016.1	375064	382181	+	1025.7	603	https://www.orthodb.org/v10?query=336at3041	Elongation factor G, chloroplastic
345at3041	Complete	AGSI01000003.1	1050506	1054804	+	1175.7	574	https://www.orthodb.org/v10?query=345at3041	Membrane AAA-metalloprotease
346at3041	Complete	AGSI01000022.1	369727	358738	-	905.4	644	https://www.orthodb.org/v10?query=346at3041	SMCs flexible hinge
363at3041	Complete	AGSI01000002.1	2946673	2951023	+	1118.1	722	https://www.orthodb.org/v10?query=363at3041	Leucyl-tRNA synthetase
366at3041	Complete	AGSI01000001.1	2813025	2810165	-	467.3	331	https://www.orthodb.org/v10?query=366at3041	predicted protein
381at3041	Complete	AGSI01000015.1	1053413	1059396	+	928.9	535	https://www.orthodb.org/v10?query=381at3041	NADH
388at3041	Complete	AGSI01000005.1	2694596	2685979	-	1116.4	627	https://www.orthodb.org/v10?query=388at3041	dynamin-related GTPase
391at3041	Complete	AGSI01000008.1	62625	54762	-	997.6	625	https://www.orthodb.org/v10?query=391at3041	transcription-coupled DNA repair protein
406at3041	Complete	AGSI01000022.1	529503	522887	-	990.0	573	https://www.orthodb.org/v10?query=406at3041	Transketolase
412at3041	Complete	AGSI01000016.1	264863	259498	-	778.7	438	https://www.orthodb.org/v10?query=412at3041	Succinate dehydrogenase 
415at3041	Complete	AGSI01000009.1	1619815	1625355	+	548.6	428	https://www.orthodb.org/v10?query=415at3041	flagellar outer dynein arm intermediate chain 2
416at3041	Complete	AGSI01000016.1	307872	315668	+	710.9	388	https://www.orthodb.org/v10?query=416at3041	AMP deaminase
417at3041	Complete	AGSI01000020.1	586052	580174	-	605.4	587	https://www.orthodb.org/v10?query=417at3041	transportin
424at3041	Complete	AGSI01000002.1	973842	962478	-	990.7	822	https://www.orthodb.org/v10?query=424at3041	DNA polymerase
425at3041	Complete	AGSI01000004.1	2040251	2033870	-	918.1	703	https://www.orthodb.org/v10?query=425at3041	Cation-transporting ATPase
427at3041	Complete	AGSI01000003.1	286466	278689	-	927.0	562	https://www.orthodb.org/v10?query=427at3041	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, atypical
433at3041	Complete	AGSI01000021.1	706769	711644	+	901.3	554	https://www.orthodb.org/v10?query=433at3041	DNA ligase
439at3041	Complete	AGSI01000025.1	141115	153152	+	1030.8	661	https://www.orthodb.org/v10?query=439at3041	SMCs flexible hinge
440at3041	Complete	AGSI01000002.1	1340295	1346675	+	977.9	676	https://www.orthodb.org/v10?query=440at3041	Importin beta
443at3041	Complete	AGSI01000025.1	244051	233440	-	524.2	292	https://www.orthodb.org/v10?query=443at3041	set domain protein
477at3041	Complete	AGSI01000003.1	2516459	2523139	+	814.6	525	https://www.orthodb.org/v10?query=477at3041	predicted protein
495at3041	Complete	AGSI01000002.1	1930828	1925159	-	741.0	540	https://www.orthodb.org/v10?query=495at3041	Pre-mRNA-processing factor 6
505at3041	Complete	AGSI01000020.1	350310	344009	-	1024.8	528	https://www.orthodb.org/v10?query=505at3041	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
510at3041	Complete	AGSI01000010.1	1625531	1628589	+	781.6	453	https://www.orthodb.org/v10?query=510at3041	Importin subunit alpha
522at3041	Complete	AGSI01000017.1	609060	617660	+	782.6	570	https://www.orthodb.org/v10?query=522at3041	Eukaryotic translation initiation factor 3 subunit C
524at3041	Complete	AGSI01000002.1	3783368	3790045	+	678.8	490	https://www.orthodb.org/v10?query=524at3041	Sec1-like protein
534at3041	Complete	AGSI01000012.1	1873098	1870445	-	829.0	482	https://www.orthodb.org/v10?query=534at3041	Alpha-D-phosphohexomutase, alpha/beta/alpha domain I
550at3041	Complete	AGSI01000013.1	1450701	1444875	-	852.1	486	https://www.orthodb.org/v10?query=550at3041	Acetolactate synthase
561at3041	Complete	AGSI01000006.1	2386143	2379356	-	895.5	522	https://www.orthodb.org/v10?query=561at3041	4Fe-4S ferredoxin, iron-sulphur binding, conserved site
570at3041	Complete	AGSI01000010.1	1774461	1779976	+	1130.0	768	https://www.orthodb.org/v10?query=570at3041	26S proteasome non-ATPase regulatory subunit 1 homolog
581at3041	Complete	AGSI01000019.1	729757	725782	-	808.1	424	https://www.orthodb.org/v10?query=581at3041	Myo-inositol-1-phosphate synthase
587at3041	Complete	AGSI01000001.1	1750966	1746925	-	990.4	687	https://www.orthodb.org/v10?query=587at3041	cellular apoptosis susceptibility protein
593at3041	Complete	AGSI01000004.1	1697935	1700730	+	560.7	383	https://www.orthodb.org/v10?query=593at3041	predicted protein
594at3041	Complete	AGSI01000001.1	782634	775426	-	843.4	575	https://www.orthodb.org/v10?query=594at3041	Peptidase S8/S53 domain
