# BUSCO version is: 5.4.7 
# The lineage dataset is: chlorophyta_odb10 (Creation date: 2020-08-05, number of genomes: 16, number of BUSCOs: 1519)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
15at3041	Complete	RRZL01000080.1	2933565	2914666	-	3253.9	1871	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
42at3041	Complete	RRZL01000069.1	3693872	3682474	-	1467.4	949	https://www.orthodb.org/v10?query=42at3041	Magnesium chelatase subunit H
45at3041	Complete	RRZL01000054.1	44556	66732	+	1941.9	1623	https://www.orthodb.org/v10?query=45at3041	DNA polymerase epsilon catalytic subunit
52at3041	Complete	RRZL01000080.1	2871845	2884548	+	1862.8	1433	https://www.orthodb.org/v10?query=52at3041	Clathrin heavy chain
64at3041	Complete	RRZL01000083.1	1500170	1567991	+	1145.9	2097	https://www.orthodb.org/v10?query=64at3041	predicted protein
66at3041	Complete	RRZL01000054.1	446287	432476	-	1258.8	1340	https://www.orthodb.org/v10?query=66at3041	Microtubule associated protein
72at3041	Complete	RRZL01000037.1	446413	458838	+	1153.6	857	https://www.orthodb.org/v10?query=72at3041	P-loop containing nucleoside triphosphate hydrolase protein
91at3041	Complete	RRZL01000027.1	86775	95976	+	1218.3	832	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
96at3041	Complete	RRZL01000069.1	511790	530129	+	1459.2	925	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
99at3041	Complete	RRZL01000011.1	1814570	1802877	-	1049.1	821	https://www.orthodb.org/v10?query=99at3041	DNA topoisomerase 2
106at3041	Complete	RRZL01000080.1	1494572	1480764	-	1618.3	1086	https://www.orthodb.org/v10?query=106at3041	PurM-like, C-terminal domain
117at3041	Complete	RRZL01000077.1	686872	718649	+	4043.1	4590	https://www.orthodb.org/v10?query=117at3041	Midasin
