# BUSCO version is: 5.4.7 
# The lineage dataset is: chlorophyta_odb10 (Creation date: 2020-08-05, number of genomes: 16, number of BUSCOs: 1519)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
15at3041	Complete	GL433857.1	449331	466110	+	3532.2	1938	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
42at3041	Missing
45at3041	Complete	GL433856.1	797173	776764	-	1724.6	1458	https://www.orthodb.org/v10?query=45at3041	DNA polymerase epsilon catalytic subunit
52at3041	Complete	GL433858.1	398239	388293	-	1895.5	1280	https://www.orthodb.org/v10?query=52at3041	Clathrin heavy chain
64at3041	Complete	GL433838.1	1019498	1061330	+	1008.2	2010	https://www.orthodb.org/v10?query=64at3041	predicted protein
66at3041	Complete	GL433856.1	514420	527850	+	1257.6	1247	https://www.orthodb.org/v10?query=66at3041	Microtubule associated protein
72at3041	Complete	GL433836.1	2520032	2528538	+	1494.8	1010	https://www.orthodb.org/v10?query=72at3041	P-loop containing nucleoside triphosphate hydrolase protein
91at3041	Complete	GL433835.1	2137186	2129860	-	1280.5	813	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
96at3041	Complete	GL433858.1	216530	227210	+	1395.3	838	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
99at3041	Complete	GL433836.1	931875	942191	+	1347.1	897	https://www.orthodb.org/v10?query=99at3041	DNA topoisomerase 2
106at3041	Complete	GL433857.1	574531	562744	-	1206.6	876	https://www.orthodb.org/v10?query=106at3041	PurM-like, C-terminal domain
117at3041	Complete	GL433835.1	2022282	1992398	-	3559.0	4469	https://www.orthodb.org/v10?query=117at3041	Midasin
118at3041	Complete	GL433860.1	368521	380459	+	1041.6	1097	https://www.orthodb.org/v10?query=118at3041	PIK-related kinase
125at3041	Complete	GL433839.1	1057849	1048846	-	1170.6	946	https://www.orthodb.org/v10?query=125at3041	Nuclear pre-mRNA splicing factor, component of splicing factor 3b
126at3041	Complete	GL433843.1	1422932	1415066	-	1089.6	690	https://www.orthodb.org/v10?query=126at3041	Kinesin-like calmodulin binding protein
137at3041	Complete	GL433838.1	516613	525816	+	1455.6	881	https://www.orthodb.org/v10?query=137at3041	Splicing factor 3B subunit 1
142at3041	Complete	GL433855.1	53478	34872	-	1441.6	844	https://www.orthodb.org/v10?query=142at3041	Exportin-1
143at3041	Complete	GL433838.1	1147451	1156772	+	760.8	483	https://www.orthodb.org/v10?query=143at3041	Glycine cleavage system P protein
144at3041	Complete	GL433843.1	543696	551751	+	1208.4	967	https://www.orthodb.org/v10?query=144at3041	oxoprolinase family protein
155at3041	Complete	GL433848.1	252758	261140	+	1012.9	577	https://www.orthodb.org/v10?query=155at3041	Serine/threonine-protein phosphatase
171at3041	Complete	GL433837.1	1024943	1016804	-	1234.4	670	https://www.orthodb.org/v10?query=171at3041	ATPase, AAA-type, conserved site
175at3041	Complete	GL433840.1	483055	487947	+	313.6	257	https://www.orthodb.org/v10?query=175at3041	Histone acetyltransferase
179at3041	Fragmented	GL433859.1	377093	373297	-	434.4	343	https://www.orthodb.org/v10?query=179at3041	Glycoside hydrolase family 31 protein
187at3041	Complete	GL433860.1	481173	476028	-	1084.3	669	https://www.orthodb.org/v10?query=187at3041	Ribonucleoside-diphosphate reductase
207at3041	Complete	GL433846.1	1157773	1149590	-	1150.5	691	https://www.orthodb.org/v10?query=207at3041	Coatomer subunit gamma
211at3041	Complete	GL433837.1	129909	135519	+	1280.4	832	https://www.orthodb.org/v10?query=211at3041	DNA polymerase
222at3041	Complete	GL433847.1	545906	556803	+	1084.1	861	https://www.orthodb.org/v10?query=222at3041	WD40-repeat-containing domain
226at3041	Complete	GL433838.1	215412	205645	-	969.8	687	https://www.orthodb.org/v10?query=226at3041	Glycine-tRNA ligase, alpha subunit
228at3041	Complete	GL433841.1	826768	840409	+	1007.7	1175	https://www.orthodb.org/v10?query=228at3041	Translational activator GCN1
230at3041	Complete	GL433860.1	161644	154453	-	1239.4	858	https://www.orthodb.org/v10?query=230at3041	Leucyl-tRNA synthetase
231at3041	Complete	GL433860.1	201574	205096	+	1017.5	566	https://www.orthodb.org/v10?query=231at3041	1-deoxy-D-xylulose 5-phosphate synthase
235at3041	Complete	GL433843.1	1571920	1561952	-	658.5	898	https://www.orthodb.org/v10?query=235at3041	predicted protein
239at3041	Complete	GL433840.1	210365	219851	+	651.8	557	https://www.orthodb.org/v10?query=239at3041	WD40-repeat-containing domain
246at3041	Complete	GL433835.1	2648249	2658166	+	982.7	826	https://www.orthodb.org/v10?query=246at3041	UV-damaged DNA binding complex subunit 1 protein
251at3041	Complete	GL433845.1	293106	287350	-	731.5	620	https://www.orthodb.org/v10?query=251at3041	Importin subunit beta-1
256at3041	Complete	GL433846.1	73887	67290	-	1164.0	1034	https://www.orthodb.org/v10?query=256at3041	SMCs flexible hinge
263at3041	Complete	GL433846.1	315236	309715	-	1093.9	738	https://www.orthodb.org/v10?query=263at3041	Coatomer subunit beta
290at3041	Complete	GL433840.1	1011553	1022030	+	1019.6	681	https://www.orthodb.org/v10?query=290at3041	RNA cytidine acetyltransferase
294at3041	Complete	GL433848.1	813036	807240	-	841.1	514	https://www.orthodb.org/v10?query=294at3041	Transmembrane 9 superfamily member
295at3041	Complete	GL433853.1	806251	811896	+	676.6	483	https://www.orthodb.org/v10?query=295at3041	Glutamyl-tRNA synthetase
307at3041	Complete	GL433850.1	987566	995908	+	980.5	709	https://www.orthodb.org/v10?query=307at3041	26S proteasome non-ATPase regulatory subunit 2 homolog
322at3041	Fragmented	GL433839.1	561706	553150	-	271.5	382	https://www.orthodb.org/v10?query=322at3041	Ribosome biogenesis protein BMS1
324at3041	Fragmented	GL433848.1	1088554	1089471	+	265.5	122	https://www.orthodb.org/v10?query=324at3041	ATP-dependent helicase, C-terminal
336at3041	Complete	GL433835.1	346533	351507	+	935.4	558	https://www.orthodb.org/v10?query=336at3041	Elongation factor G, chloroplastic
345at3041	Missing
346at3041	Missing
363at3041	Complete	GL433836.1	873453	883245	+	905.9	635	https://www.orthodb.org/v10?query=363at3041	Leucyl-tRNA synthetase
366at3041	Complete	GL433846.1	1268240	1265016	-	512.7	377	https://www.orthodb.org/v10?query=366at3041	predicted protein
381at3041	Complete	GL433839.1	323520	322360	-	336.7	182	https://www.orthodb.org/v10?query=381at3041	NADH
388at3041	Complete	GL433859.1	122940	128570	+	1091.4	629	https://www.orthodb.org/v10?query=388at3041	dynamin-related GTPase
391at3041	Complete	GL433846.1	259126	249598	-	373.2	315	https://www.orthodb.org/v10?query=391at3041	transcription-coupled DNA repair protein
406at3041	Complete	GL433846.1	511614	507789	-	996.8	563	https://www.orthodb.org/v10?query=406at3041	Transketolase
412at3041	Complete	GL433846.1	983627	987250	+	751.2	444	https://www.orthodb.org/v10?query=412at3041	Succinate dehydrogenase 
415at3041	Complete	GL433846.1	1281751	1271812	-	600.0	425	https://www.orthodb.org/v10?query=415at3041	flagellar outer dynein arm intermediate chain 2
416at3041	Complete	GL433836.1	610107	617325	+	529.9	397	https://www.orthodb.org/v10?query=416at3041	AMP deaminase
417at3041	Complete	GL433869.1	307261	301200	-	617.9	684	https://www.orthodb.org/v10?query=417at3041	transportin
424at3041	Complete	GL433857.1	67396	53932	-	601.5	622	https://www.orthodb.org/v10?query=424at3041	DNA polymerase
