# BUSCO version is: 5.4.7 
# The lineage dataset is: chlorophyta_odb10 (Creation date: 2020-08-05, number of genomes: 16, number of BUSCOs: 1519)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
15at3041	Complete	QOKY01000184.1	218487	205577	-	3907.4	1965	https://www.orthodb.org/v10?query=15at3041	Pre-mRNA-processing-splicing factor 8
42at3041	Complete	QOKY01000215.1	154691	162368	+	2048.5	1129	https://www.orthodb.org/v10?query=42at3041	Magnesium chelatase subunit H
45at3041	Complete	QOKY01000197.1	663944	649124	-	1879.8	1448	https://www.orthodb.org/v10?query=45at3041	DNA polymerase epsilon catalytic subunit
52at3041	Complete	QOKY01000213.1	408354	402296	-	2093.7	1312	https://www.orthodb.org/v10?query=52at3041	Clathrin heavy chain
64at3041	Complete	QOKY01000154.1	11853	10296	-	325.5	217	https://www.orthodb.org/v10?query=64at3041	predicted protein
66at3041	Complete	QOKY01000193.1	142732	132312	-	1041.1	994	https://www.orthodb.org/v10?query=66at3041	Microtubule associated protein
72at3041	Complete	QOKY01000169.1	559422	550263	-	1392.7	1026	https://www.orthodb.org/v10?query=72at3041	P-loop containing nucleoside triphosphate hydrolase protein
91at3041	Complete	QOKY01000135.1	227533	234111	+	1346.2	872	https://www.orthodb.org/v10?query=91at3041	FAD-binding, type 2
96at3041	Complete	QOKY01000133.1	49718	53413	+	1170.7	648	https://www.orthodb.org/v10?query=96at3041	Carbamoyl-phosphate synthase
99at3041	Complete	QOKY01000160.1	569351	578115	+	1367.9	887	https://www.orthodb.org/v10?query=99at3041	DNA topoisomerase 2
106at3041	Complete	QOKY01000213.1	364858	370295	+	1687.1	1080	https://www.orthodb.org/v10?query=106at3041	PurM-like, C-terminal domain
117at3041	Complete	QOKY01000202.1	446057	461033	+	2282.0	2384	https://www.orthodb.org/v10?query=117at3041	Midasin
118at3041	Complete	QOKY01000140.1	1943	374	-	489.4	345	https://www.orthodb.org/v10?query=118at3041	PIK-related kinase
125at3041	Complete	QOKY01000202.1	1960138	1952731	-	1306.3	982	https://www.orthodb.org/v10?query=125at3041	Nuclear pre-mRNA splicing factor, component of splicing factor 3b
126at3041	Complete	QOKY01000179.1	656555	649661	-	1117.2	685	https://www.orthodb.org/v10?query=126at3041	Kinesin-like calmodulin binding protein
